artist,track_or_project_title,release_type,confidence_score,extraction_method,source_article_title,source_article_url,source_name,article_date,embedded_music_links,release_article
Producing LE SSERAFIM,Celebration,unknown,0.7,regex,"Softest Hard on Producing LE SSERAFIM’s ‘Celebration’: “The Hardstyle, Hard Dance Kids, We’re Having Our Moment”",https://edm.com/music-releases/softest-hard-le-sserafim-celebration-interview/,EDM.com,2026-05-04,,True
BIJOU,Mamacita,unknown,0.55,regex,"Listen to BIJOU’s Sultry House Banger, ‘Mamacita’",https://edm.com/music-releases/bijou-mamacita/,EDM.com,2026-05-01,,True
VAVO,Don’t Leave,single,0.7,regex,"VAVO Bridges Country and Dance Music in Wistful Single, ‘Don’t Leave’",https://edm.com/music-releases/vavo-dont-leave/,EDM.com,,,True
Liquid,Superstar,EP,0.6,regex,"Liquid Stranger and AHEE Join Forces for Wobbly EP, ‘Superstar’",https://edm.com/music-releases/liquid-stranger-ahee-new-ep-superstar/,EDM.com,,,True
Skrillex,Smoke,single,0.85,regex,"Skrillex and ISOxo Throw Down on Long-Awaited Single, ‘Smoke’: Listen",https://edm.com/music-releases/skrillex-isoxo-cristale-teezandos-smoke/,EDM.com,,,True
SIDEPIECE,Function,track,0.6,regex,"SIDEPIECE Land on FISHER’s Label With High-Energy House Track, ‘Function’",https://edm.com/music-releases/sidepiece-function/,EDM.com,,,True
Ganja,Let It Go,single,0.6,regex,"Ganja White Night and TVBOO Link With Micah Martin for New Single, ‘Let It Go’",https://edm.com/music-releases/ganja-white-night-tvboo-let-it-go/,EDM.com,,,True
SVDKO,NOTHING FEELS THE SAME,track,0.6,regex,"SVDKO Debuts on Breakaway Projects With Ferocious Bass Track, ‘NOTHING FEELS THE SAME’",https://edm.com/music-releases/svdko-nothing-feels-the-same/,EDM.com,,,True
Ghastly,Dopamine Machine Vol. 1,unknown,0.7,regex,"Exclusive: Ghastly Returns With Vintage Comeback Mix, ‘Dopamine Machine Vol. 1’",https://edm.com/music-releases/ghastly-returns-comeback-mix-dopamine-machine-vol-1/,EDM.com,,,True
Madeon and Slayyyter,Fire Away,single,0.95,regex,"Madeon and Slayyyter Pull the Pin on Electropop Grenade, ‘Fire Away’: Listen",https://edm.com/music-releases/madeon-new-album-victory-tracklist-slayyyter-fire-away/,EDM.com,,,True
k?d,close your eyes,album,0.6,regex,"k?d Announces Sophomore Album With Release of Lead Single, ‘close your eyes’",https://edm.com/music-releases/kd-announces-sophomore-album-drops-lead-single-close-your-eyes/,EDM.com,,,True
Dr. Fresch,Don’t Walk Away,single,0.6,regex,"Listen to Dr. Fresch’s First Solo Track in Three Years, ‘Don’t Walk Away’",https://edm.com/music-releases/listen-dr-fresch-first-solo-track-three-years-dont-walk-away/,EDM.com,,,True
Alok,My Own Thang,EP,0.6,regex,"Alok Reconnects With the Dancefloor on Debut Hellbent EP, ‘My Own Thang’",https://edm.com/music-releases/alok-my-own-thang-ep/,EDM.com,,,True
MPH,Unconditional,track,0.6,regex,"MPH Makes Major Label Debut With High-Energy UK Garage Track, ‘Unconditional’",https://edm.com/music-releases/mph-unconditional/,EDM.com,,,True
Sarah de Warren and CIRCA96,Breathing Underwater,unknown,0.6,regex,"Love Becomes Life Support in Sarah de Warren and CIRCA96’s Trance Anthem, ‘Breathing Underwater’",https://edm.com/music-releases/sarah-de-warren-circa96-craig-connelly-breathing-underwater/,EDM.com,,,True
NGHTMRE and Viperactive,Earthquake,track,0.6,regex,"NGHTMRE and Viperactive Bring the Thunder on Nostalgic Trap Banger, “Earthquake”",https://edm.com/music-releases/nghtmre-viperactive-earthquake/,EDM.com,,,True
Armin van Buuren and Argy,Like a Child,unknown,0.85,regex,Two Worlds Collide on Armin van Buuren and Argy’s ‘Like a Child:’ Listen,https://edm.com/music-releases/armin-van-buuren-argy-like-a-child/,EDM.com,,,True
TroyBoi,HUSH,single,0.6,regex,"TroyBoi and Daya Let the Groove Do the Talking on New Single, ‘HUSH’",https://edm.com/music-releases/troyboi-daya-hush/,EDM.com,,,True
Of The Trees,Amanita,single,0.85,regex,Of The Trees to Donate Royalties From New Single to Environmental Causes: Listen to ‘Amanita’,https://edm.com/music-releases/of-the-trees-donating-royalties-new-single-amanita-environmental-causes/,EDM.com,,,True
