artist,track_or_project_title,release_type,confidence_score,extraction_method,source_article_title,source_article_url,source_name,article_date,embedded_music_links,release_article
LIZOT,No Kiss,single,1.0,spotify_playlist_api,LIZOT - No Kiss,https://open.spotify.com/track/6iqzoQ2JILovuBiZfj16Kw,Spotify Playlist,2026-02-20,https://open.spotify.com/track/6iqzoQ2JILovuBiZfj16Kw,True
Ordinary Kid,Make Me Go,single,1.0,spotify_playlist_api,Ordinary Kid - Make Me Go,https://open.spotify.com/track/4y1fCY9r3nsMNWAhdW1xwz,Spotify Playlist,2026-02-20,https://open.spotify.com/track/4y1fCY9r3nsMNWAhdW1xwz,True
Alle Farben,Body Talk,single,1.0,spotify_playlist_api,Alle Farben - Body Talk,https://open.spotify.com/track/2ejzE6eD1mP1JFk4qrBxbc,Spotify Playlist,2026-03-06,https://open.spotify.com/track/2ejzE6eD1mP1JFk4qrBxbc,True
Felix Jaehn,boy you turn me,single,1.0,spotify_playlist_api,Felix Jaehn - boy you turn me,https://open.spotify.com/track/5xM6Saib7CixujU8BFW2eN,Spotify Playlist,2026-03-06,https://open.spotify.com/track/5xM6Saib7CixujU8BFW2eN,True
bbyclose,dream about u,single,1.0,spotify_playlist_api,bbyclose - dream about u,https://open.spotify.com/track/3M2GqbZhACjU0cGZGBdIxs,Spotify Playlist,2026-02-13,https://open.spotify.com/track/3M2GqbZhACjU0cGZGBdIxs,True
The Avener,Supernova,single,1.0,spotify_playlist_api,The Avener - Supernova,https://open.spotify.com/track/2Fgrs0WuPgru74Ttu5le2M,Spotify Playlist,2026-02-12,https://open.spotify.com/track/2Fgrs0WuPgru74Ttu5le2M,True
Marlon Hoffstadt,Turn It Up,EP,1.0,spotify_playlist_api,Marlon Hoffstadt - Turn It Up,https://open.spotify.com/track/3V8NtZAKzVhM6XexfKl0fq,Spotify Playlist,2025-10-24,https://open.spotify.com/track/3V8NtZAKzVhM6XexfKl0fq,True
Yearboox,Paris and Rome,single,1.0,spotify_playlist_api,Yearboox - Paris and Rome,https://open.spotify.com/track/1JMh5BJOU5GIScZWWJIs62,Spotify Playlist,2025-11-07,https://open.spotify.com/track/1JMh5BJOU5GIScZWWJIs62,True
Unregular,Somebody To Love,single,1.0,spotify_playlist_api,Unregular - Somebody To Love,https://open.spotify.com/track/3iCGGFi3RlG7Us7nX7E6KK,Spotify Playlist,2026-02-20,https://open.spotify.com/track/3iCGGFi3RlG7Us7nX7E6KK,True
AVA CROWN,"All I Got (Love, Need and Want You)",single,1.0,spotify_playlist_api,"AVA CROWN - All I Got (Love, Need and Want You)",https://open.spotify.com/track/16hmagIN6gXttdjwbq24Y5,Spotify Playlist,2026-02-20,https://open.spotify.com/track/16hmagIN6gXttdjwbq24Y5,True
R3HAB,I had a dream...,single,1.0,spotify_playlist_api,R3HAB - I had a dream...,https://open.spotify.com/track/4IKowbCQsk8o6AQPaYvzQC,Spotify Playlist,2026-02-06,https://open.spotify.com/track/4IKowbCQsk8o6AQPaYvzQC,True
LUM!X,I Don't Even Like You,single,1.0,spotify_playlist_api,LUM!X - I Don't Even Like You,https://open.spotify.com/track/0nPRRrlZk8rZsnTb5AsMW9,Spotify Playlist,2026-02-13,https://open.spotify.com/track/0nPRRrlZk8rZsnTb5AsMW9,True
Agnes,BEAUTIFUL MADNESS,album,1.0,spotify_playlist_api,Agnes - BEAUTIFUL MADNESS,https://open.spotify.com/track/1BtPw6ZQxLXoB82nAYgsOV,Spotify Playlist,2026-01-23,https://open.spotify.com/track/1BtPw6ZQxLXoB82nAYgsOV,True
AVALAN ROKSTON,Vertigo,single,1.0,spotify_playlist_api,AVALAN ROKSTON - Vertigo,https://open.spotify.com/track/6kw5fiFSxFTUUmn6ynSwrD,Spotify Playlist,2026-02-20,https://open.spotify.com/track/6kw5fiFSxFTUUmn6ynSwrD,True
Regard,Higher Love,single,1.0,spotify_playlist_api,Regard - Higher Love,https://open.spotify.com/track/2TFwKzcRtRJ6B4RVmQCvXG,Spotify Playlist,2026-02-13,https://open.spotify.com/track/2TFwKzcRtRJ6B4RVmQCvXG,True
ILLENIUM,Don't Want Your Love,album,1.0,spotify_playlist_api,ILLENIUM - Don't Want Your Love,https://open.spotify.com/track/0ddLd0n19FHwawkSmhXwgg,Spotify Playlist,2026-02-05,https://open.spotify.com/track/0ddLd0n19FHwawkSmhXwgg,True
Alesso,FADE,single,1.0,spotify_playlist_api,Alesso - FADE,https://open.spotify.com/track/1ZpzOXJwRbvKgYK2XBVRfi,Spotify Playlist,2026-02-06,https://open.spotify.com/track/1ZpzOXJwRbvKgYK2XBVRfi,True
R2,God Is A DJ,single,1.0,spotify_playlist_api,R2 - God Is A DJ,https://open.spotify.com/track/7kdyAbm6kDeazoggHIifHn,Spotify Playlist,2025-11-27,https://open.spotify.com/track/7kdyAbm6kDeazoggHIifHn,True
twocolors,Remind Me To Forget,EP,1.0,spotify_playlist_api,twocolors - Remind Me To Forget,https://open.spotify.com/track/5moWB917EyCJ3wsahkV2Zl,Spotify Playlist,2026-01-30,https://open.spotify.com/track/5moWB917EyCJ3wsahkV2Zl,True
NOTION,FITNESS FIRST,single,1.0,spotify_playlist_api,NOTION - FITNESS FIRST,https://open.spotify.com/track/64FZ6XLObgyJwDQWkVU07k,Spotify Playlist,2026-01-30,https://open.spotify.com/track/64FZ6XLObgyJwDQWkVU07k,True
Nicole da Silva,Nunca Senti,single,1.0,spotify_playlist_api,Nicole da Silva - Nunca Senti,https://open.spotify.com/track/4SCW9QxxSpdQZ7TwTSa4xT,Spotify Playlist,2026-02-06,https://open.spotify.com/track/4SCW9QxxSpdQZ7TwTSa4xT,True
Agnes,SIGN IT,album,1.0,spotify_playlist_api,Agnes - SIGN IT,https://open.spotify.com/track/0fXnyYPljuHzW3FRXAv9wP,Spotify Playlist,2026-01-23,https://open.spotify.com/track/0fXnyYPljuHzW3FRXAv9wP,True
JOXION,That's So True,single,1.0,spotify_playlist_api,JOXION - That's So True,https://open.spotify.com/track/4icMifx3jMpCMfencg8dBA,Spotify Playlist,2026-01-30,https://open.spotify.com/track/4icMifx3jMpCMfencg8dBA,True
