artist,track_or_project_title,release_type,confidence_score,extraction_method,source_article_title,source_article_url,source_name,article_date,embedded_music_links,release_article
Denis First,La La La,unknown,0.85,regex,Denis First unveils feel-good house anthem ‘La La La’: Listen,https://weraveyou.com/2026/04/denis-first-la-la-la-house-single/,We Rave You,2026-04-29,,True
Statikk,Self Control,single,1.0,regex+embedded_player,Statikk channels groove and movement on new single ‘Self Control’: Listen,https://weraveyou.com/2026/04/statikk-self-control-single/,We Rave You,2026-04-26,https://open.spotify.com/album/5dtrV6pAh4Fuaw3Ravv67G,True
DJs From Mars,You Get What You Give,remix,0.7,regex,"DJs From Mars Flip ‘You Get What You Give’ into a high-energy remix with Van Snyder, Serena Bleu & Alexander Popov: Listen",https://weraveyou.com/2026/04/djs-from-mars-remix-you-get-what-you-give/,We Rave You,2026-04-24,,True
Rob Laniado,Falling Under,track,1.0,regex+embedded_player,"Rob Laniado returns with a melodic techno cut on ROMÉ Records, ‘Falling Under’: Listen",https://weraveyou.com/2026/04/rob-laniado-falling-under-rome-records/,We Rave You,2026-04-19,https://soundcloud.com/rob-laniado/rob-laniado-falling-under-rome,True
