artist_name,soundcloud_url,soundcloud_user_id,genres,edm_match_terms,followers_count,track_count,country,city
Boombox Cartel,https://soundcloud.com/boomboxcartel?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,27818952,"Dance & EDM | MOOMBAHTON | BOOMBOX CARTEL | BOOMBOX CARTEL"" MIRZHA INSOWMYA | monta ""boombox cartel"" strobez | BOOMBOX CARTEL"" A-PAR ""MC BIN LADEN | BOOMBOX CARTEL"" ""DILLION FRANCIS"" URBOI NEVVE",dance | edm,248093,213,,
MEDUZA,https://soundcloud.com/meduzamusic?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,572691174,"GUESTMIX | meduza genesi ""aeterna records"" aeternarecords meduzaset meduzadjset genesidjset meduza3 meduzalive electronicmusic aeternaradio ""aeterna radio"" ""genesi meduza"" ""Deep House | Dance | House | spacemiami space miami meduza meduzadjset meduza3 djset fullset meduzafullset pieceofyourheart paradise badmemories spacemiamifullset spacefullset | Guestmix | meduza "" meduzaset meduza3 electronicmusic dreyav ""dreya v"" ""aeterna records"" aeterna ""aeterna radio"" genesi | Benny Benassi"" meduza ""aeterna records"" ""benny benassi guestmix"" ""benny benassi set"" ""meduza guestmix"" ""meduza set | Melodic House & Techno | Year Mix 2025"" ""2025 year mix"" ""new year's eve 2025"" ""new years eve"" nye 2026 | Melodic House | Grand Piano"" Synths djset liveset ""meduza live set"" ""meduza3 live set"" ""kappa futurfestival",club | dance | deep house | electronic | house | melodic house | techno,104385,124,Italy,Milan
Ship Wrek,https://soundcloud.com/theshipwrek?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,104479059,"Dance & EDM | ship wrek"" ""ship wrek radio"" ""captains of the club radio"" ""ship wrek captains of the club radio"" ""ship wrek live"" ""ship wrek mix"" ""ship wrek dj mix"" ""ship wrek show | House | ship wrek"" ""kanye west flashing lights"" ""ship wrek flashing lights "" ""ship wrek flashing lights remix"" ""kanye west"" ye ""kanye west flashing lights remix"" ""flashing lights"" ""flashing lights remix"" shipwrek ""ship wrek remix"" ""kanye west Flashing Lights (feat. Dwele) | Dance | Bass House | ship wrek radio"" ""captains of the club radio"" ""ship wrek mix"" ""ship wrek live"" ""captains of the club radio 23"" ""ship wrek set"" ""ship wrek "" ""dj mix | Experts Only"" ""tech house | ship wrek"" ""captains of the club radio"" ""captains of the club radio 22"" ""ship wrek radio"" ""ship wrek captains of the club radio"" ""captains of the club"" ""ship wrek mix"" ""dj mix"" ""ship wrek live "" ""ship wrek set"" ""dj set"" ""Alternative Rock | Tech House",bass | bass house | club | dance | edm | house | tech house,114392,116,,Los Angeles
Francis VI (IG @itsfrancisvi),https://soundcloud.com/itsfrancisvi?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,155648498,"Deep House | francis vi"" rampant drinking ""deep house"" ""house music"" gaming | House | twofriends loudluxury beberexha housemusic Dance | chainsmokers 347aidan francisvi remix house | 6lack "" ""remix "" house francisvi | juicewrld remix house housemusic | Remix House | Happy | BurningUp FrancisVI BlestJones | KidLaroi JustinBieber FrancisVI Flip House",dance | deep house | house,1642,23,,Florida
Elderbrook,https://soundcloud.com/elderbrook?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,33381607,Dance | Melodic House & Techno | Afro House,afro house | dance | house | melodic house | techno,75523,204,,London
Chet Porter,https://soundcloud.com/chetporter?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,4671640,Electronic | Dance,dance | electronic,48529,38,,Toronto
Rome in Silver,https://soundcloud.com/romeinsilver?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,3286973,groove | Electronic,electronic,23111,48,,California
MARC E. BASSY,https://soundcloud.com/marc_e_bassy?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,34361200,R&B | Soul,bass | house,95379,219,United States,LA
ONLYTHENEXT,https://soundcloud.com/onlythenext?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,807444958,ONLYTHENEXT | 2Step Garage 2StepGarage UKG Dub Bass FakeID | ukg dark overmono | flowdan ukg breakbeat dub bass | dojacat ukg remix futuregarage breaks doja cat | ukg,bass | breaks | garage | ukg,3947,5,Ukraine,Kyiv
Arman Cekin,https://soundcloud.com/armancekin?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,17797035,"Latin | Dance | Afro House | Electronic | Dance & EDM | Funk Carioca | Baile Funk | amapiano faydee ""arman cekin"" African afro afrobeat | amapiano afro afrobeat ""afro house | World",afro house | dance | edm | electronic | house,132634,45,Netherlands,
FiendBassy,https://soundcloud.com/fiendbassy?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,2778435,R&B | Other | Other Other,bass,122296,133,United States,NYC
Win and Woo,https://soundcloud.com/winandwoo?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,14449884,Electronic | Future Bass | Dance & EDM | House Electronic Pop thedare girls | Future Rave | Electronic SpeedHouse Pop | Dance | Pop | Acoustic Electronic,bass | dance | edm | electronic | house,69548,88,,Chicago
Khalid,https://soundcloud.com/thegreatkhalid?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,177989887,Dance Pop | Pop | R&B | Soul,dance,496846,149,,"El Paso, TX"
Disco Lines,https://soundcloud.com/discolines?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,27269702,Dance & EDM | Hip-hop & Rap | House,dance | edm | house,109835,130,,
Kungs,https://soundcloud.com/kungsmusic?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,54506965,Electronic,electronic,153921,101,France,
Rampant,https://soundcloud.com/officialrampant?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,75027687,"House | tech house"" Slap Flip | Deep House | Progressive House | melodic "" house tech | progressive "" melodic Tech Pop Dance electronic Do I really Know Better | Tech Remix Jack U bass House | Pop | Alt-Pop Electronic | Hip Hop"" ""Indie Pop"" ""Future Pop | electro pop"" electronic EDM Indie | Dance & EDM | Pop DancePop House PopHouse Energetic",bass | bass house | dance | deep house | edm | electronic | house | progressive house | tech house,2347,21,,Arizona
Kito,https://soundcloud.com/thisiskito?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,15181,Dance | Electronic,dance | electronic,29349,56,,Los Angeles
Disclosure,https://soundcloud.com/disclosuremusic?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,494163,"Electronic | House | Garage | Trance? | disclosure | UK Garage"" Dark Electronica Electronic | Dance & EDM",dance | edm | electronic | electronica | garage | house | trance,1438679,222,,
EMBRZ,https://soundcloud.com/embrz?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,35714879,"Dance & EDM | endless drive"" mix 24 embrz mixtape ""lane 8 | Dance | Progressive House | Electronic | Electronica | endless drive"" mixtape mix embrz | embrz ""endless drive"" mix 22 ""find your light"" mixtape",dance | edm | electronic | electronica | house | progressive house,48352,104,Ireland,
